EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
IT,15,Italy,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00501589019035176
LU,16,Luxembourg,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,8.6610253164281e-05
NL,17,Netherlands,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0014134401643928
NO,18,Norway,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00790504278950053
PL,19,Poland,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.289837928434023
PT,20,Portugal,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00468893854279034
RO,21,Romania,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0425331036934804
ES,22,Spain,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0457537736653673
SE,23,Sweden,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0229314860807245
CH,24,Switzerland,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.000323771188344836
TR,25,Turkey,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,2.48087529766436
GB,27,United Kingdom,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0
BAS,30,Baltic Sea,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0359843221931786
NOS,31,North Sea,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00517386521038606
ATL,32,Remaining North-East Atlantic Ocean,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0245126971254172
MED,33,Mediterranean Sea,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.886568836198078
BLS,34,Black Sea,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.301837532852776
BY,39,Belarus,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.029955349857753
UA,40,Ukraine,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.299817482222091
MD,41,Republic of Moldova,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.000588474282762036
EE,43,Estonia,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0141306806010944
LV,44,Latvia,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0496526402006566
LT,45,Lithuania,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00994208417901632
CZ,46,Czech Republic,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.038944075183658
SK,47,Slovakia,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00317161049907401
SI,48,Slovenia,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00339606521118628
HR,49,Croatia,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0194026253239822
BA,50,Bosnia and Herzegovina,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.245063124518842
MK,52,The former Yugoslav Republic of Macedonia,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.110029144883156
