Year,Pollutant,Region,GNFR,SNAP,EMEP_Sector,sec_long,long_name,Data_source,ISO,layer_name,t1,ann_emis_kt
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,CY,voc_CY_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,CZ,voc_CZ_sector=1,4857.886847,4.857886847
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,CZ,voc_CZ_sector=2,8049.17948262,8.04917948262
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,CZ,voc_CZ_sector=3,160109.686555875,160.109686555875
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,CZ,voc_CZ_sector=4,5541.27856124527,5.54127856124527
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,CZ,voc_CZ_sector=5,52826.4058470699,52.8264058470699
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,CZ,voc_CZ_sector=6,11325.2670114942,11.3252670114942
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,CZ,voc_CZ_sector=7,14.054634,0.014054634
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,CZ,voc_CZ_sector=8,87.5430468462676,0.0875430468462676
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,CZ,voc_CZ_sector=9,2418.14019821497,2.41814019821497
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,CZ,voc_CZ_sector=10,2684.58538919689,2.68458538919689
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,CZ,voc_CZ_sector=11,24652.2248533204,24.6522248533204
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,CZ,voc_CZ_sector=12,13355.6388345767,13.3556388345767
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,CZ,voc_CZ_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,DE,voc_DE_sector=1,7320.15468874751,7.32015468874751
