Pollutant,GNFR,ISO2,RepTot_2019,RepTot_2020,RepTot_2021,MapTot,rep21_to_rep19,map21_to_rep21
co,O_AviCruise,CH,3.58609103266501,1.9785271642982,1.90650312003416,,1.88097831835741,
co,O_AviCruise,CY,0.609039213401811,0.209431865511862,0.415152445234,,1.46702547556603,
co,O_AviCruise,CZ,1.09610025,1.09610025,1.09610025,,1,
co,O_AviCruise,DE,22.0945867829708,12.1578569657902,12.6031489225544,,1.75310050835237,
co,O_AviCruise,DK,1.96921070058948,0.607618162037048,0.734800241675768,,2.67992658262951,
co,O_AviCruise,EE,0.066029,0.024165,0.044103,,1.49715438859035,
co,O_AviCruise,ES,14.0029454087646,6.54294918311336,9.4796303911032,,1.47716153806024,
co,O_AviCruise,FI,2.74543517582241,1.29385564031283,1.23260616824098,,2.22734174674815,
co,O_AviCruise,FR,11.6552198918675,5.9198686661835,7.3495228539405,,1.58584715273298,
co,O_AviCruise,GB,16.81937212044,6.603437191622,5.916255693086,,2.84290825024616,
co,O_AviCruise,GR,2.76780161934483,1.09749982768217,2.215479169736,,1.24930157645068,
co,O_AviCruise,HR,0.19229404366,0.05526633978,,,,
co,O_AviCruise,HU,0.845921906238999,0.333427232848,0.333427232848,,2.53705103513435,
co,O_AviCruise,IE,3.23694338152341,1.05125750834353,1.22399811279594,,2.64456566369156,
co,O_AviCruise,IS,0.702881776362796,0.233653043937041,0.476760609288296,,1.47428659723389,
co,O_AviCruise,IT,9.82782105285789,3.96752187070242,5.82208663193,,1.68802384336902,
co,O_AviCruise,KZ,560.15688,247.93212,603.47,,0.928226556415398,
co,O_AviCruise,LT,0.115169590203548,0.050606644338881,0.0635018414524539,,1.81364173966167,
co,O_AviCruise,LU,2.2310739508315,2.07753902970791,2.36438281479101,,0.943617901836555,
co,O_AviCruise,LV,0.15413292120979,0.0546698272761861,0.0764973059838,,2.0148803834011,
co,O_AviCruise,MD,0.030443082253,0.0013592545,,,,
co,O_AviCruise,MK,31.7640635652,10.3629480984,18.9253992432,,1.67838274675304,
co,O_AviCruise,NO,3.2665665567,2.2777161113,2.2671537006,,1.44082271785786,
co,O_AviCruise,PL,5.35890793398971,4.33321454148808,4.65960911198509,,1.15007671356079,
co,O_AviCruise,PT,1.76797276126442,0.705548384254021,0.951175211573195,,1.85872459642875,
co,O_AviCruise,RO,1.140759152303,0.505535134856,0.709845759524,,1.60705214759324,
co,O_AviCruise,RS,0.144968,0.075082,0.075082,,1.93079566340801,
co,O_AviCruise,SE,7.48309031066938,2.19081286345061,2.31118879905271,,3.23776677774507,
co,O_AviCruise,SI,0.131467729083797,0.044796471275316,0.0453270126722553,,2.90042783173021,
co,O_AviCruise,SK,0.185555159794876,0.185555159794876,0.134113807118,,1.38356492729802,
co,O_AviCruise,TR,18.2951994233743,9.69714340364447,13.6576034125401,,1.33956147874202,
co,F_RoadTransport,AL,,,,16.092972,,
co,F_RoadTransport,AM,130.13,151.38,130.13,24.086892,1,0.185098685929455
co,F_RoadTransport,AST,,,,1586.64067249719,,
co,F_RoadTransport,AT,61.747713785888,48.3487844912184,47.50631434962,47.50631434962,1.29977908476459,1
co,F_RoadTransport,AZ,,,,475.5347,,
co,F_RoadTransport,BA,,,,32.603668,,
co,F_RoadTransport,BE,56.1262367409037,44.8836951395315,52.8799813561686,52.8799813561686,1.06138911742178,1
co,F_RoadTransport,BG,54.2518433910721,49.2850884083365,52.2916876145115,52.2916876145116,1.03748503569077,1
co,F_RoadTransport,BY,143.437,127.3749,103.8009,97.1367639999996,1.38184736355851,0.935798861088869
co,F_RoadTransport,CA,1114.51129981507,957.87510475494,974.791941234045,,1.14333249247439,
co,F_RoadTransport,CH,71.1412048265222,60.1956564652976,60.0794714499315,60.0794714499315,1.18411835373434,1
co,F_RoadTransport,CY,7.22532579923031,5.99430273621897,6.53302529324386,6.53302529324386,1.10596935950981,1
co,F_RoadTransport,CZ,78.2715687533047,67.5544553074022,70.7413702640502,70.7413702640503,1.10644688477403,1
co,F_RoadTransport,DE,934.166269248439,771.632578639247,759.392577504062,759.392577504063,1.23014932845251,1
co,F_RoadTransport,DK,57.780262234666,50.6640397771529,51.1611922702247,51.1611922702247,1.12937677311116,1
co,F_RoadTransport,EE,10.932844,8.420225,7.908689,7.908689,1.38238385654057,1
co,F_RoadTransport,ES,236.689086098,174.19077044,212.873818757,212.873818757,1.11187504165642,0.999999999999998
co,F_RoadTransport,FI,33.0536171825574,29.0719197841481,25.7810584648407,25.7810584648406,1.28208922172977,0.999999999999997
co,F_RoadTransport,FR,294.842219441523,229.198483297315,265.938416126257,265.938416126257,1.10868607753738,1
co,F_RoadTransport,GB,209.73815330519,148.180457473878,151.595747954623,151.595747954623,1.3835358585913,1
co,F_RoadTransport,GE,60.2760747282849,57.4374110099069,62.1424420414192,62.1424420414191,0.969966302388143,0.999999999999998
co,F_RoadTransport,GR,185.949995355275,152.9123,158.579917260423,158.579917260423,1.17259485669868,1
co,F_RoadTransport,HR,24.6730074222181,22.8002439625609,,22.8002439625609,,
co,F_RoadTransport,HU,81.092898010384,67.7076550209609,68.2041890644612,68.2041890644613,1.18897239484427,1
co,F_RoadTransport,IE,24.6817697689185,17.1781430357639,16.6336389712253,16.6336389712253,1.48384666828562,1
