Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_masked,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,tsum,tot_tres_ratio
ie,outwith,voc,masked,2022,2024,sec10,J_Waste,9,Waste,month,4.51736641851328e-05,3.76447136879997e-06,3.76447104206144e-06,3.76447128717675e-06,3.76447194067057e-06,3.76447247116392e-06,3.76447264531306e-06,3.76447259279515e-06,3.76447239013802e-06,3.76447222993218e-06,3.7644722026392e-06,3.76447215238409e-06,3.76447186205841e-06,4.51736641851328e-05,1
uk,terrestrial,voc,masked,2022,2024,sec11,K_AgriLivestock,10,AgriLivestock,month,131930.11312203,13687.8603550394,17163.5923035067,16638.1742516208,10891.0685845585,5668.74595412605,4008.26608796564,4144.514668728,9947.19056732005,13372.8744868554,11674.9002671096,12486.3183659259,12246.6072292764,131930.113122032,0.999999999999979
uk,sea,voc,masked,2022,2024,sec11,K_AgriLivestock,10,AgriLivestock,month,2.13824169286172,0.221844376576427,0.278176890735261,0.269661239849057,0.176515704991314,0.0918755290851726,0.0649634981927458,0.0671717309387437,0.161217913746585,0.216739280400313,0.189219564210066,0.202370527005245,0.198485437130784,2.13824169286171,1
uk,outwith,voc,masked,2022,2024,sec11,K_AgriLivestock,10,AgriLivestock,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,terrestrial,voc,masked,2022,2024,sec11,K_AgriLivestock,10,AgriLivestock,month,38438.1640079261,6066.23627206512,6035.13706610432,4354.37964629426,1777.9179630695,535.895711903204,815.522993916976,789.552598885955,407.143361226977,1634.41467767211,4286.03628296327,5807.65489635249,5928.27253747172,38438.1640079259,1
ie,sea,voc,masked,2022,2024,sec11,K_AgriLivestock,10,AgriLivestock,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,outwith,voc,masked,2022,2024,sec11,K_AgriLivestock,10,AgriLivestock,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,terrestrial,voc,masked,2022,2024,sec12,L_AgriOther,10,AgriOther,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,sea,voc,masked,2022,2024,sec12,L_AgriOther,10,AgriOther,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,outwith,voc,masked,2022,2024,sec12,L_AgriOther,10,AgriOther,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,terrestrial,voc,masked,2022,2024,sec12,L_AgriOther,10,AgriOther,month,4495.63721850322,128.761497597563,423.733197746793,643.397727148067,593.119438799564,376.968517588714,196.743652844187,207.650041592848,740.126138365951,819.29436120694,252.955961460198,79.101359695283,33.7853244570874,4495.6372185032,1
ie,sea,voc,masked,2022,2024,sec12,L_AgriOther,10,AgriOther,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,outwith,voc,masked,2022,2024,sec12,L_AgriOther,10,AgriOther,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,terrestrial,voc,masked,2022,2024,sec13,M_Other,11,Other,month,93989.2819459722,7832.44016216461,7832.44016216461,7832.44016216461,7832.44016216461,7832.44016216461,7832.44016216461,7832.44016216461,7832.44016216461,7832.44016216461,7832.44016216461,7832.44016216461,7832.44016216461,93989.2819459753,0.999999999999966
uk,sea,voc,masked,2022,2024,sec13,M_Other,11,Other,month,2.35253667581437,0.196044722984531,0.196044722984531,0.196044722984531,0.196044722984531,0.196044722984531,0.196044722984531,0.196044722984531,0.196044722984531,0.196044722984531,0.196044722984531,0.196044722984531,0.196044722984531,2.35253667581438,0.999999999999999
uk,outwith,voc,masked,2022,2024,sec13,M_Other,11,Other,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,terrestrial,voc,masked,2022,2024,sec13,M_Other,11,Other,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,sea,voc,masked,2022,2024,sec13,M_Other,11,Other,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,outwith,voc,masked,2022,2024,sec13,M_Other,11,Other,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,terrestrial,voc,masked,2022,2024,sec14,"",1,PublicPower_Point,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
